How many meters butterfly have I swam in total?;1200
How many meters backstroke have I swam in total?;3100
How many meters breaststroke have I swam in total?;2800
How many meters freestyle have I swam in total?;26600
What has been my fastest pace in 100 m freestyle so far?;1:14:00
When did I achieve my fastest time in 100 m freestyle so far?;18/03/2026
How far am I from the current men's world record in 100m freestyle, in seconds (1 decimal)?;27,6
What has been my longest training session so far (distance)?;1800
On which date did I cover the greatest total distance for the first time?;07/01/2026
Which stroke apart from freestyle shows the largest difference between best and worst pace?;Breaststroke
Which is the biggest difference between the best and worst pace in a stroke that is not freestyle?;0:35.40
Which swimming pool do I attend most often?;Olympia
What was my best time in the longest block I have swam?;6:25.8
What is my best time in 200m medley (represented as consecutive 50 m butterfly, backstroke, breaststroke, freestyle runs)?;4:00.3
