date,swimming pool,distance,stroke,total time,avgerage time / 100m
2025-09-03,Olympia,200,freestyle,3:12.9,1:36.5
2025-09-03,Olympia,200,freestyle,3:31.7,1:45.8
2025-09-03,Olympia,200,freestyle,4:02.1,2:01.0
2025-09-03,Olympia,200,freestyle,4:02.4,2:01.2
2025-09-03,Olympia,50,butterfly,1:10.3,2:20.7
2025-09-03,Olympia,50,backstroke,1:06.1,2:12.1
2025-09-03,Olympia,50,breaststroke,1:04.8,2:09.6
2025-09-03,Olympia,50,freestyle,0:57.9,1:55.7
2025-09-03,Olympia,100,freestyle,1:19.8,1:19.8
2025-09-03,Olympia,100,freestyle,1:21.8,1:21.8
2025-09-03,Olympia,100,freestyle,1:23.1,1:23.1
2025-09-03,Olympia,100,freestyle,1:19.1,1:19.1
2025-09-03,Olympia,200,freestyle,4:00.6,2:00.3
2025-09-17,Nordbad,300,freestyle,5:23.0,1:47.7
2025-09-17,Nordbad,300,freestyle,5:12.1,1:44.0
2025-09-17,Nordbad,300,freestyle,5:26.3,1:48.8
2025-09-17,Nordbad,50,butterfly,1:11.9,2:23.8
2025-09-17,Nordbad,50,backstroke,1:03.1,2:06.2
2025-09-17,Nordbad,50,breaststroke,1:04.7,2:09.5
2025-09-17,Nordbad,50,freestyle,0:54.9,1:49.8
2025-09-17,Nordbad,100,backstroke,2:16.7,2:16.7
2025-09-17,Nordbad,100,backstroke,1:58.8,1:58.8
2025-09-17,Nordbad,100,backstroke,2:11.1,2:11.1
2025-09-17,Nordbad,100,backstroke,2:05.1,2:05.1
2025-09-17,Nordbad,200,freestyle,3:22.6,1:41.3
2025-10-01,Cosima,200,freestyle,4:19.8,2:09.9
2025-10-01,Cosima,200,freestyle,3:49.8,1:54.9
2025-10-01,Cosima,200,freestyle,4:07.7,2:03.8
2025-10-01,Cosima,200,freestyle,3:58.8,1:59.4
2025-10-01,Cosima,50,butterfly,1:06.1,2:12.3
2025-10-01,Cosima,50,backstroke,1:06.0,2:12.0
2025-10-01,Cosima,50,breaststroke,1:06.4,2:12.8
2025-10-01,Cosima,50,freestyle,1:02.1,2:04.2
2025-10-01,Cosima,100,freestyle,1:25.9,1:25.9
2025-10-01,Cosima,100,freestyle,1:27.7,1:27.7
2025-10-01,Cosima,100,freestyle,1:31.2,1:31.2
2025-10-01,Cosima,200,breaststroke,3:51.0,1:55.5
2025-10-01,Cosima,200,breaststroke,4:56.8,2:28.4
2025-10-15,Dantebad,400,freestyle,7:26.5,1:51.6
2025-10-15,Dantebad,400,freestyle,8:04.3,2:01.1
2025-10-15,Dantebad,50,butterfly,1:08.0,2:16.1
2025-10-15,Dantebad,50,backstroke,1:06.5,2:13.1
2025-10-15,Dantebad,50,breaststroke,1:05.8,2:11.5
2025-10-15,Dantebad,50,freestyle,0:58.8,1:57.6
2025-10-15,Dantebad,100,freestyle,1:33.1,1:33.1
2025-10-15,Dantebad,100,freestyle,1:23.0,1:23.0
2025-10-15,Dantebad,100,freestyle,1:17.4,1:17.4
2025-10-15,Dantebad,100,freestyle,1:18.5,1:18.5
2025-10-15,Dantebad,200,freestyle,3:51.2,1:55.6
